Entry ID,User_Type,Submitter
INC000000459144,Others,NOAHLAU
INC000000459097,Others,STEPHENIE
INC000000459004,Others,WACKOC
INC000000459001,Others,KENTCHEE
INC000000459078,Others,NOAHLAU
INC000000459077,Others,Z104318
INC000000459067,Others,Remedy Application Service
INC000000459055,Others,VINLEUNG
INC000000459003,VVIP,STEPHENIE
INC000000458995,Others,VINLEUNG
INC000000459068,Others,VINLEUNG
INC000000458948,Others,RPYLAI
INC000000458908,Others,VINLEUNG
INC000000458907,Others,VINLEUNG
INC000000458904,Others,CKLKEN
INC000000458903,Others,RPYLAI
INC000000458892,Others,VINLEUNG
INC000000458882,Others,WACKOC
INC000000458880,Others,WACKOC
INC000000458869,Others,ALEXCCK
INC000000458868,Others,ALEXCCK
INC000000458859,Others,LRXCHONG
INC000000458856,Others,JWSLAI
INC000000458777,VIP,STEPHENIE
INC000000458906,VIP,CKLKEN
INC000000458929,Others,CKLKEN
INC000000458797,Others,WACKOC
INC000000458865,Others,JWSLAI
INC000000458771,Others,LRXCHONG
INC000000458766,Others,STEPHENIE
INC000000458773,VIP,ALEXCCK
INC000000458839,Others,ALEXCCK
INC000000458836,Others,LRXCHONG
INC000000458830,Others,Remedy Application Service
INC000000458826,Others,WINFZHU
INC000000458749,Others,ALEXCCK
INC000000458816,Others,CKLKEN
INC000000458814,VIP,STEPHENIE
INC000000458811,Others,VINLEUNG
INC000000458810,Others,OPERATOR
INC000000458595,Others,STEPHENIE
INC000000458592,Others,STEPHENIE
INC000000458584,Others,DALEHO
INC000000458692,Others,LEEMWM
INC000000458570,Others,Remedy Application Service
INC000000458673,Others,KENTCHEE
INC000000458740,Others,VINLEUNG
INC000000458709,Others,KENTCHEE
INC000000458706,Others,ALEXCCK
INC000000458697,Others,ALEXCCK
INC000000458695,VIP,WACKOC
INC000000458661,Others,JWSLAI
INC000000458650,Others,KENTCHEE
INC000000458648,Others,ALEXCCK
INC000000458644,Others,LRXCHONG
INC000000458637,Others,KENTCHEE
INC000000458535,,KINMNG
INC000000458495,Others,VINLEUNG
INC000000458664,Others,ALEXCCK
INC000000458561,Others,ALEXCCK
INC000000458552,Others,ALEXCCK
INC000000458530,Others,JWSLAI
INC000000458497,Others,VINLEUNG
INC000000458391,Others,VINLEUNG
INC000000458386,Others,WACKOC
INC000000458483,Others,WACKOC
INC000000458462,Others,ALEXCCK
INC000000458333,Others,LRXCHONG
INC000000458318,Others,NOAHLAU
INC000000458320,VIP,KENTCHEE
INC000000458312,Others,LEEMWM
INC000000458417,Others,LEEMWM
INC000000458467,Others,NOAHLAU
INC000000458463,Others,LEEMWM
